VALUE,Longitude,Latitude
1.00000000,77.1097366,28.8572098
1.00000000,77.1098391,28.8572082
1.00000000,77.0939524,28.8571852
1.00000000,77.0940549,28.8571836
1.00000000,77.0941573,28.8571820
1.00000000,77.0942598,28.8571804
1.00000000,77.1095263,28.8569424
1.00000000,77.1102435,28.8569312
1.00000000,77.0940531,28.8570934
1.00000000,77.0941555,28.8570918
1.00000000,77.0942580,28.8570902
1.00000000,77.0943604,28.8570887
1.00000000,77.0940513,28.8570032
1.00000000,77.0941537,28.8570016
1.00000000,77.0942562,28.8570000
1.00000000,77.0943586,28.8569985
1.00000000,77.0942544,28.8569098
1.00000000,77.1100240,28.8562128
1.00000000,77.1100222,28.8561226
1.00000000,77.1099179,28.8560340
1.00000000,77.1100203,28.8560324
1.00000000,77.1099161,28.8559438
1.00000000,77.1100185,28.8559422
1.00000000,77.1141059,28.8553367
1.00000000,77.1142083,28.8553351
1.00000000,77.1099033,28.8553124
1.00000000,77.1100058,28.8553108
1.00000000,77.1141040,28.8552465
1.00000000,77.1142065,28.8552449
1.00000000,77.1099015,28.8552222
1.00000000,77.1100039,28.8552206
1.00000000,77.1101064,28.8552190
1.00000000,77.1102089,28.8552174
1.00000000,77.1103113,28.8552157
1.00000000,77.1098997,28.8551320
1.00000000,77.1100021,28.8551304
1.00000000,77.1101046,28.8551288
1.00000000,77.1102070,28.8551272
1.00000000,77.1103095,28.8551255
1.00000000,77.1098978,28.8550418
1.00000000,77.1100003,28.8550402
1.00000000,77.1101028,28.8550386
1.00000000,77.1102052,28.8550370
1.00000000,77.1103077,28.8550353
1.00000000,77.1138864,28.8546184
1.00000000,77.1127575,28.8545458
1.00000000,77.1137821,28.8545298
1.00000000,77.1127557,28.8544556
1.00000000,77.1137802,28.8544396
1.00000000,77.1137784,28.8543494
1.00000000,77.1135699,28.8541722
1.00000000,77.1055765,28.8542070
1.00000000,77.1135680,28.8540820
1.00000000,77.1134638,28.8539934
1.00000000,77.1135662,28.8539918
1.00000000,77.1134619,28.8539032
1.00000000,77.1135644,28.8539016
1.00000000,77.1172455,28.8534829
1.00000000,77.1169363,28.8533975
1.00000000,77.1171412,28.8533943
1.00000000,77.1172436,28.8533927
1.00000000,77.1173461,28.8533911
1.00000000,77.1174486,28.8533895
1.00000000,77.1175510,28.8533879
1.00000000,77.1176535,28.8533863
1.00000000,77.1076074,28.8532730
1.00000000,77.1076056,28.8531828
1.00000000,77.1078105,28.8531796
1.00000000,77.1079129,28.8531780
1.00000000,77.1076038,28.8530926
1.00000000,77.1077062,28.8530910
1.00000000,77.1078087,28.8530894
1.00000000,77.1073970,28.8530056
1.00000000,77.1074995,28.8530040
1.00000000,77.1076019,28.8530024
1.00000000,77.1077044,28.8530008
1.00000000,77.1078068,28.8529992
1.00000000,77.1079093,28.8529976
1.00000000,77.1080118,28.8529960
1.00000000,77.1071903,28.8529186
1.00000000,77.1169217,28.8526759
1.00000000,77.1170241,28.8526743
1.00000000,77.1173315,28.8526695
1.00000000,77.1174339,28.8526679
1.00000000,77.1175346,28.8525761
1.00000000,77.1176370,28.8525745
1.00000000,77.1175291,28.8523055
1.00000000,77.1078966,28.8523662
1.00000000,77.1168101,28.8522265
1.00000000,77.1172199,28.8522201
1.00000000,77.1173223,28.8522185
1.00000000,77.1175272,28.8522153
1.00000000,77.1078947,28.8522760
1.00000000,77.1168082,28.8521363
1.00000000,77.1169107,28.8521347
1.00000000,77.1173205,28.8521283
1.00000000,77.1169089,28.8520445
1.00000000,77.1180340,28.8519366
1.00000000,77.1179297,28.8518480
1.00000000,77.1180322,28.8518464
1.00000000,77.1181347,28.8518448
1.00000000,77.1081948,28.8519104
1.00000000,77.1177230,28.8517611
1.00000000,77.1178255,28.8517594
1.00000000,77.1179279,28.8517578
1.00000000,77.1082955,28.8518186
1.00000000,77.1173114,28.8516773
1.00000000,77.1174138,28.8516757
1.00000000,77.1175163,28.8516741
1.00000000,77.1176187,28.8516725
1.00000000,77.1177212,28.8516709
1.00000000,77.1178236,28.8516692
1.00000000,77.1179261,28.8516676
1.00000000,77.1180285,28.8516660
1.00000000,77.1181310,28.8516644
1.00000000,77.2112440,28.8495376
1.00000000,77.2111397,28.8494491
1.00000000,77.2112421,28.8494474
1.00000000,77.2111377,28.8493589
1.00000000,77.2112402,28.8493572
1.00000000,77.2113426,28.8493556
1.00000000,77.2111358,28.8492687
1.00000000,77.2112383,28.8492670
1.00000000,77.2113407,28.8492654
1.00000000,77.2111339,28.8491785
1.00000000,77.2112364,28.8491769
1.00000000,77.2113388,28.8491752
1.00000000,77.2114413,28.8491735
